캐릭터리스트																																	일반용병-0		
2004-05-21  10시																																	장수-1		
hq에 들어감			X=적용불가																		봉인의 구슬 개수 = 몬스터 고용 가능 레벨 / 10												몬스터-2		
김영나	전체숫자안쓰임	이름코드	X	X	국가별분류	힘	민첩	생명력	지력	기본방어력	기본레벨	무게	물리방어력	마법방어력	최소데미지	최고데미지	db에서만사용	db에서만사용	db에서만사용	고용가격	고용가능렙(봉인의돌 개수 정함)	장비무기	고용신등	주는아이템	확률	주는아이템	확률	주는아이템	확률	X	X	설명	구분	X	
M32	귀묘	100418	65	130	0	35	35	60	0	20	1	100	0	0	8	14	4	240	0	47000	47	0	47	360	15000000	641	15000000	533	400000	0	0	4010245	2	3	1
M33	백호	100419	55	100	0	35	55	55	10	22	1	100	20	10	15	20	6	220	40	44000	44	0	44	190	3000000	641	15000000	479	400000	0	0	4010236	2	4	1
M34	바다거북이	100420	115	120	0	65	70	100	25	50	1	100	50	0	16	22	5	400	100	52000	52	0	52	643	3000000	110	12000000	438	200000	0	0	0	2	4	1
M35	독나방	100421	15	250	0	10	15	5	0	4	1	100	0	0	1	3	6	20	0	3000	3	0	3	743	1500000	17	20000000	469	1300000	0	0	0	2	1	1
M36	거미요괴	100422	108	130	0	65	75	70	15	35	1	100	40	0	22	27	6	280	60	45000	45	0	45	185	12000000	110	12000000	607	300000	0	0	0	2	4	1
M37	사마귀	100423	5	100	0	12	17	5	0	5	1	200	0	0	2	4	6	20	0	23000	23	0	23	169	20000000	19	20000000	523	1300000	0	0	4010241	2	1	1
M38	눈코끼리	100424	867	100	0	550	500	1000	100	200	1	100	95	95	110	140	4	4000	400	100000	100	0	100	522	500000	645	100000	0	0	0	0	0	2	1	3
M39	무관의혼	100425	90	100	0	70	60	90	20	55	1	100	40	0	30	42	6	360	80	55000	55	0	55	783	300000	205	1500000	399	300000	0	0	8000692	2	1	1
M40	신검의혼	100426	774	100	0	420	650	700	100	230	1	100	95	95	130	150	7	2800	400	100000	100	0	100	196	100000	110	10000000	0	0	0	0	0	2	1	2
M41	멧돼지	100427	53	100	0	45	35	60	0	25	1	100	0	0	13	17	7	240	0	35000	35	0	35	28	15000000	640	15000000	398	400000	0	0	0	2	2	1
M42	왕거머리	100428	93	120	0	55	85	80	0	28	1	100	20	20	14	19	7	320	0	50000	50	0	50	367	12000000	752	400000	421	300000	0	0	0	2	4	1
M43	해마	100429	100	150	0	55	65	70	0	25	1	100	10	10	10	15	5	280	0	54000	54	0	54	642	1500000	622	400000	378	400000	0	0	4010235	2	4	1
M44	도굴꾼	100430	99	120	0	60	70	80	8	45	1	100	10	10	25	40	5	320	32	50000	50	0	50	114	12000000	780	400000	457	300000	0	0	0	2	3	1
M45	해저왕	100431	580	100	0	400	800	800	150	400	1	100	95	95	160	250	5	3200	600	100000	100	0	100	407	200000	644	2000000	0	0	0	0	0	2	1	3
M46	반달곰	100432	53	120	0	35	50	55	0	24	1	100	0	0	10	12	5	220	0	40000	41	0	41	712	2000000	67	15000000	505	400000	0	0	0	2	4	1
M47	기마창수	100433	104	140	0	55	75	90	20	32	1	100	10	10	22	28	7	360	80	56000	56	0	56	111	12000000	755	300000	536	300000	0	0	0	2	3	1
M48	대만오리	100434	5	100	0	10	10	7	0	4	1	100	0	0	1	2	4	28	0	3000	3	0	3	126	10000000	741	5000000	470	1000000	0	0	0	2	1	1
M49	도둑고양이	100435	5	100	0	12	17	5	0	5	1	100	0	0	2	4	6	20	0	3000	3	0	3	641	20000000	23	20000000	390	1300000	0	0	0	2	1	1
M50	대만왕벌	100436	22	180	0	13	18	10	0	4	1	100	0	0	1	3	6	40	0	17000	17	0	17	142	20000000	17	20000000	434	700000	0	0	4010251	2	1	1
M51	악덕상인	100437	19	100	0	24	20	20	0	5	1	200	0	0	2	3	4	80	0	25000	25	sword	25	665	20000000	722	20000000	473	700000	0	0	4010252	2	2	1
M52	마적두목	100438	528	100	0	600	600	700	130	500	1	100	50	80	200	241	5	2800	520	7000	7	0	7	654	300000	70	3000000	0	0	300	200	0	2	1	2
M53	망치마적	100439	11	100	0	25	25	8	0	9	1	100	0	0	2	4	3	32	0	10000	10	0	10	363	17000000	730	17000000	375	1000000	0	0	0	2	1	1
M54	총수마적	100440	4	100	0	12	10	4	0	4	1	100	0	0	1	2	4	16	0	5000	5	0	20	735	17000000	745	1000000	553	1000000	0	0	0	2	1	1
M55	원주민	100441	70	100	0	60	50	50	0	20	1	100	5	5	15	15	6	200	0	40000	40	0	40	731	20000000	723	20000000	374	1300000	0	0	0	2	1	1
M56	원주민무당	100442	75	100	0	65	50	55	20	30	1	100	0	25	15	15	4	220	80	42000	61	0	61	775	700000	705	17000000	414	700000	0	0	4010255	2	1	1
M57	해적	100443	42	100	0	35	40	35	3	11	1	100	0	0	30	35	5	140	12	30000	30	sword	30	733	15000000	708	15000000	397	500000	0	0	0	2	1	1
M58	차우차우 	100444	4	100	0	12	11	4	0	4	1	100	0	0	1	2	5	16	0	7000	7	0	7	126	10000000	721	5000000	448	1300000	0	0	0	2	1	1
M59	꼬마선인장	100445	107	100	0	57	85	80	24	43	1	100	10	10	15	25	5	320	96	68000	68	0	68	706	12000000	180	12000000	565	300000	0	0	4010254	2	1	1
M60	팬더 	100446	14	100	0	20	15	16	0	6	1	100	0	0	3	2	5	64	0	7000	7	0	7	675	17000000	678	17000000	452	700000	0	0	0	2	1	1
M61	구렁이	100447	40	100	0	35	50	30	0	5	1	100	0	0	25	45	4	120	0	7000	7	0	7	666	20000000	667	20000000	476	500000	0	0	0	2	1	1
M62	식인악어	100448	60	100	0	40	45	40	10	10	1	100	0	0	2	4	6	160	40	32000	32	0	32	711	17000000	737	17000000	418	400000	0	0	4010253	2	1	1
M63	갈고리해적	100449	52	100	0	42	54	42	10	10	1	100	0	0	30	34	6	168	40	7000	7	0	7	777	400000	705	15000000	562	400000	800	3	0	2	1	1
M64	마두인 	100450	120	120	0	110	90	98	20	40	1	100	10	10	30	46	7	392	80	105000	105	spear	99	725	5000000	127	12000000	379	300000	0	0	4010256	2	1	1
M65	졸개마적	100451	4	100	0	12	10	4	0	4	1	100	0	0	1	2	4	16	0	5000	5	0	5	147	17000000	715	17000000	499	700000	0	0	0	2	1	1
M66	독전갈 	100452	200	100	0	95	120	160	0	45	1	100	0	0	54	65	6	640	0	100000	55	0	55	571	100000	463	100000	511	200000	0	0	8000691	2	1	1
M67	루돌이	100453	40	100	0	35	50	30	0	5	1	100	0	0	25	45	4	120	0	7000	7	0	7	641	10000000	741	10000000	854	5000000	0	0	4010231	2	1	1
M68	천구	100454	300	100	0	150	190	250	50	120	1	100	50	50	90	120	6	1000	200	80000	80	0	80	350	10000000	98	1000000	383	100000	0	0	0	2	1	2
M69	요술사	100455	270	100	0	140	150	200	300	150	1	100	50	80	85	110	6	800	1200	95000	95	0	95	351	10000000	202	1000000	631	100000	0	0	0	2	1	2
M70	얼음나무	100456	55	100	0	35	35	60	10	30	1	100	0	0	7	10	6	240	40	32000	33	0	33	160	20000000	194	2000000	533	700000	0	0	0	2	1	1
M71	눈도마뱀	100457	45	100	0	45	55	35	10	18	1	100	0	0	15	19	6	140	40	42000	43	0	43	707	10000000	640	20000000	773	700000	0	0	0	2	1	1
M72	광우	100458	135	100	0	100	60	130	20	40	1	100	10	10	40	50	7	520	80	81000	81	0	81	20	20000000	97	1000000	402	100000	0	0	4010257	2	1	1
M73	거대수	100459	130	100	0	80	50	150	50	40	1	100	30	0	35	42	6	600	200	50000	50	0	50	725	5000000	127	12000000	379	300000	0	0	0	2	1	1
M74	괴물덩굴손	100461	30	100	0	20	30	40	0	10	1	100	0	0	15	20	2	160	0	20000	20	0	20	666	5000000	667	8000000	476	500000	0	0	0	2	1	1
M75	모래의신	100462	1000	100	0	600	300	1000	300	400	1	100	95	95	180	250	3	4000	1200	250000	100	0	100	440	3000000	195	2000000	0	0	0	0	0	2	1	3
M76	바다의사신	100463	1000	100	0	1000	1000	1100	500	400	1	100	95	95	200	250	5	4400	2000	300000	130	0	100	404	200000	196	100000	0	0	0	0	0	2	1	3
M77	살무사	100464	25	100	0	15	50	30	0	5	1	100	0	0	10	20	5	120	0	4000	5	0	0	666	4000000	667	5000000	476	500000	0	0	0	2	1	1
M78	아마쿠사	100465	1000	100	0	1000	1000	1000	500	250	1	100	95	95	130	160	6	4000	2000	300000	130	0	130	440	500000	195	100000	0	0	0	0	0	2	1	3
M79	용암괴물	100466	400	100	0	200	150	300	50	100	1	100	20	20	90	120	4	1200	200	150000	90	0	90	405	1000000	0	0	0	0	0	0	0	2	1	1
M80	이사의사념	100467	1000	100	0	600	600	600	1800	200	1	100	95	95	200	250	4	2400	7200	300000	150	0	150	990	100000	994	500000	0	0	0	0	0	2	1	3
M81	인면조	100468	500	100	0	300	600	400	80	200	1	100	70	80	170	200	5	1600	320	100000	100	0	100	654	300000	70	3000000	0	0	300	200	0	2	1	3
M82	족제비	100469	20	100	0	15	30	20	0	5	1	200	0	0	5	7	5	80	0	25000	25	0	25	142	5000000	17	5000000	434	1000000	0	0	0	2	1	1
M83	징키스칸	100470	800	100	0	300	500	600	100	200	1	100	50	50	100	130	5	2400	400	100000	130	0	130	206	1000000	549	300000	0	0	0	0	0	2	1	3
M84	코브라	100471	30	100	0	20	20	35	0	10	1	100	0	0	15	20	3	140	0	5000	6	0	0	666	5000000	667	5000000	476	4000000	0	0	0	2	1	1
M85	화산의불꽃	100472	120	100	0	75	50	100	30	20	1	100	0	0	50	60	6	400	120	90000	80	0	80	225	500000	0	0	0	0	0	0	0	2	1	1
U00	조선짐꾼	100011	15	0	1	40	10	10	0	5	1	200	0	0	6	9	5	40	0	300	1	0	1	0	0	0	0	0	0	0	0	4000104	0	1	0
U01	창잡이	100012	15	0	1	34	20	16	0	8	1	100	0	0	7	10	6	64	0	5400	10	spear	4	430	2000000	448	1000000	434	500000	0	0	4000105	0	1	0
U02	활잡이	100013	15	0	1	20	20	10	0	4	1	100	0	0	5	7	6	40	0	4800	9	Arrow	4	297	2000000	449	1000000	435	0	0	0	4000106	0	1	0
U03	파계승	100015	15	0	1	25	20	10	5	4	1	100	0	20	6	8	6	40	20	6000	13	buddist	5	412	2000000	452	1000000	438	500000	0	0	4000108	0	1	0
U04	대장군포	100021	15	0	1	100	20	24	0	50	1	0	0	0	90	110	3	96	0	60000	55	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U05	기마궁수	100022	15	0	1	18	18	12	0	4	1	100	0	0	4	6	8	48	0	9000	16	Arrow	6	374	2000000	469	1000000	441	500000	0	0	4000107	0	1	0
U06	천자총통	100023	15	0	1	40	20	20	0	40	1	0	0	0	70	90	6	80	0	4200	45	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U07	화차	100024	15	0	1	20	20	10	0	40	1	0	0	0	60	80	5	40	0	5000	30	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U08	유생	100025	15	0	1	15	20	15	6	4	1	100	0	10	5	7	6	60	24	7500	10	fan	5	375	2000000	470	1000000	413	500000	0	0	4000109	0	1	0
U09	검술낭인	100026	15	0	10	38	25	8	0	4	1	100	0	0	10	13	6	32	0	6000	10	sword	4	376	2000000	473	1000000	414	500000	0	0	4000110	0	1	0
U10	조총낭인	100111	15	0	10	18	25	12	0	4	1	100	0	0	5	7	6	48	0	4800	9	Bullet	4	377	2000000	476	1000000	418	500000	0	0	4000111	0	1	0
U11	늑대낭인	100112	15	0	10	30	30	10	0	5	1	100	0	0	9	12	8	40	0	9000	16	spear	6	378	2000000	496	1000000	421	500000	0	0	4000112	0	1	0
U12	퇴마사	100113	15	0	10	18	20	13	10	4	1	100	0	10	5	7	6	52	40	6300	13	beads	5	379	2000000	493	1000000	405	500000	0	0	4000113	0	1	0
U13	닌자	100114	15	0	10	30	40	10	0	4	1	100	0	20	8	11	7	40	0	7200	12	craw	5	380	2000000	496	1000000	402	500000	0	0	4000114	0	1	0
U14	귀갑차	100115	15	0	10	40	20	20	0	30	1	0	0	0	50	70	5	80	0	45000	39	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U15	화염차	100116	15	0	10	45	20	22	0	30	1	0	0	0	50	70	4	88	0	55000	41	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U16	파쇄차	100117	15	0	10	60	20	30	0	60	1	0	0	0	110	130	4	120	0	62000	68	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U17	명창병	100210	15	0	100	35	20	18	0	6	1	100	0	0	7	10	6	72	0	7000	11	spear	100	0	0	0	0	0	0	0	0	0	0	1	0
U18	명화승총병	100211	15	0	100	25	20	12	0	5	1	100	0	0	6	8	6	48	0	7500	9	Bullet	100	0	0	0	0	0	0	0	0	0	0	1	0
U19	명등갑총병	100212	15	0	100	40	20	20	0	7	1	100	0	0	8	11	5	80	0	4000	10	Bullet	100	0	0	0	0	0	0	0	0	0	0	1	0
U20	명주술사	100213	15	0	100	20	20	10	5	4	1	100	0	30	5	7	7	40	20	4500	13	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U21	불량기포	100214	15	0	100	40	20	20	0	40	1	0	0	0	80	100	5	80	0	6000	47	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U22	발석거	100215	15	0	100	100	20	24	0	50	1	0	0	0	100	120	4	96	0	8500	57	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U23	코끼리	100216	15	0	100	30	20	14	0	60	1	0	0	0	110	130	5	56	0	7500	46	0	100	0	0	0	0	0	0	0	0	0	0	1	0
U24	일본짐꾼	100118	15	0	10	40	10	10	0	5	1	200	0	0	6	9	5	40	0	300	1	0	1	0	0	0	0	0	0	0	0	4000115	0	1	0
U25	명짐꾼	100275	15	0	100	40	10	10	0	5	1	200	0	0	6	9	5	40	0	350	1	0	1	0	0	0	0	0	0	0	0	4000234	0	1	0
U26	황소짐꾼	100218	15	0	1	60	20	20	0	10	1	300	0	0	1	2	5	80	0	5000	100	0	25	0	0	0	0	0	0	0	0	0	0	1	0
U27	수레짐꾼	100219	15	0	10	60	20	20	0	10	1	300	0	0	1	2	5	80	0	5000	100	0	25	0	0	0	0	0	0	0	0	0	0	1	0
U30	이순신	100220	50	0	1	40	60	50	20	10	1	100	0	0	13	16	5	200	80	1000000	150	Arrow	45	325	2000000	628	1000000	408	500000	0	0	4000200	1	1	0
U31	허준	100221	50	0	1	30	50	50	50	5	1	100	0	20	12	14	5	200	200	1400000	150	fan	60	0	0	0	0	0	0	0	0	4000201	1	1	0
U32	신립	100222	50	0	1	35	65	45	15	10	1	100	0	0	9	12	7	180	60	1550000	150	Arrow	55	326	2000000	631	1000000	409	500000	0	0	4000202	1	1	0
U33	김시민	100223	50	0	1	60	40	80	10	20	1	100	0	0	20	25	5	320	40	1000000	150	spear	50	324	2000000	399	1000000	387	500000	0	0	4000203	1	1	0
U34	권율	100224	50	0	1	50	50	70	20	18	1	100	0	0	17	23	5	280	80	1100000	150	sword	45	0	0	0	0	0	0	0	0	4000204	1	1	0
U35	사명대사	100225	50	0	1	30	30	40	80	8	1	100	0	20	10	14	5	160	320	1400000	150	buddist	55	93	2000000	565	1000000	380	500000	0	0	4000205	1	1	0
U36	유성룡	100226	50	0	1	30	40	40	70	8	1	100	0	20	10	13	5	160	280	1450000	150	fan	55	94	2000000	568	1000000	378	500000	0	0	4000206	1	1	0
U37	도쿠가와	100227	50	0	10	50	50	50	20	17	1	100	0	0	16	20	7	200	80	1600000	150	spear	65	323	2000000	511	1000000	0	0	0	0	4000207	1	1	0
U38	고니시	100228	50	0	10	70	50	60	10	15	1	100	0	0	25	30	5	240	40	1300000	150	sword	45	0	0	0	0	0	0	0	0	4000208	1	1	0
U39	와키자카	100229	50	0	10	40	60	50	20	15	1	100	0	0	6	9	5	200	80	1050000	150	Bullet	45	337	2000000	514	1000000	0	0	0	0	4000209	1	1	0
U40	가토	100230	50	0	10	80	40	60	10	12	1	100	0	0	28	33	5	240	40	1250000	150	sword	55	541	2000000	456	1000000	0	0	0	0	4000210	1	1	0
U41	우기다	100231	50	0	10	40	60	50	20	15	1	100	0	0	16	22	7	200	80	1600000	150	spear	60	0	0	0	0	0	0	0	0	4000211	1	1	0
U42	아사코	100232	50	0	10	50	70	40	40	13	1	100	0	20	6	9	5	160	160	1450000	150	craw	50	517	2000000	463	1000000	0	0	0	0	4000212	1	1	0
U43	세이쇼	100233	50	0	10	30	40	50	70	8	1	100	0	20	11	15	5	200	280	1350000	150	beads	55	536	2000000	466	1000000	0	0	0	0	4000213	1	1	0
U44	H활잡이	100234	20	0	1	20	20	10	0	4	1	100	0	0	5	7	6	40	0	4800	9	Arrow	2	390	2000000	499	1000000	622	500000	0	0	4000106	0	1	0
U45	H기마궁수	100235	20	0	1	18	18	12	0	4	1	100	0	0	4	6	8	48	0	9000	16	Arrow	4	393	2000000	523	1000000	625	500000	0	0	4000107	0	1	0
U46	H유생	100236	20	0	1	15	20	15	6	4	1	100	0	10	5	7	6	60	24	2500	10	fan	3	395	2000000	525	1000000	0	0	0	0	4000109	0	1	0
U47	H창잡이	100237	20	0	1	34	20	16	0	8	1	100	0	0	7	10	6	64	0	5400	10	spear	2	412	2000000	530	1000000	0	0	0	0	4000105	0	1	0
U48	H파계승	100238	20	0	1	25	20	10	5	4	1	100	0	20	6	8	6	40	20	6000	13	buddist	3	413	2000000	550	1000000	0	0	0	0	4000108	0	1	0
U49	H검술낭인	100239	20	0	10	38	25	8	0	4	1	100	0	0	10	13	6	32	0	6000	10	sword	2	414	2000000	553	1000000	0	0	0	0	4000110	0	1	0
U50	H조총낭인	100240	20	0	10	18	25	12	0	4	1	100	0	0	5	7	6	48	0	4800	9	Bullet	2	430	2000000	556	1000000	0	0	0	0	4000111	0	1	0
U51	H늑대낭인	100241	20	0	10	30	30	10	0	5	1	100	0	0	9	12	8	40	0	9000	16	spear	4	431	2000000	559	1000000	0	0	0	0	4000112	0	1	0
U52	H퇴마사	100242	20	0	10	18	20	13	10	4	1	100	0	10	5	7	6	52	40	6300	13	beads	3	434	2000000	616	1000000	0	0	0	0	4000113	0	1	0
U53	H닌자	100243	20	0	10	30	40	10	0	4	1	100	0	20	8	11	7	40	0	7200	12	craw	3	435	2000000	619	1000000	0	0	0	0	4000114	0	1	0
U54	대만짐꾼	100246	15	0	1000	40	10	10	0	5	1	200	0	0	6	9	5	40	0	300	1	0	1	0	0	0	0	0	0	0	0	4000214	0	1	0
U55	도끼거한	100247	15	0	1000	45	10	20	0	4	1	100	0	0	13	16	4	80	0	6500	10	axe	4	376	2000000	473	1000000	414	500000	0	0	4000215	0	1	0
U56	서양총수	100248	15	0	1000	15	30	15	0	4	1	100	0	0	4	6	4	60	0	5000	9	Bullet	4	377	2000000	476	1000000	418	500000	0	0	4000216	0	1	0
U57	주술사	100249	15	0	1000	23	23	10	5	4	1	100	0	20	5	8	6	40	20	6000	13	beads	5	412	2000000	452	1000000	438	500000	0	0	4000217	0	1	0
U58	여전사	100250	15	0	1000	22	22	10	0	4	1	100	0	0	4	6	7	40	0	8500	16	SpinStone	6	374	2000000	469	1000000	441	500000	0	0	4000218	0	1	0
U59	봉술가	100265	15	0	1000	35	25	20	0	7	1	100	0	0	10	13	4	80	0	8000	12	stick	5	380	2000000	496	1000000	402	500000	0	0	4000219	0	1	0
U60	H서양총수	100266	20	0	1000	15	30	15	0	4	1	100	0	0	4	6	4	60	0	5000	9	Bullet	4	377	2000000	476	1000000	418	500000	0	0	4000216	0	1	0
U61	H주술사	100267	20	0	1000	23	23	10	5	4	1	100	0	20	5	8	6	40	20	6000	13	beads	5	412	2000000	452	1000000	438	500000	0	0	4000217	0	1	0
U62	H봉술가	100268	20	0	1000	35	25	20	0	7	1	100	0	0	10	13	4	80	0	8000	12	stick	5	380	2000000	496	1000000	402	500000	0	0	4000219	0	1	0
U63	H여전사	100269	20	0	1000	22	22	10	0	4	1	100	0	0	4	6	7	40	0	8500	16	SpinStone	6	374	2000000	469	1000000	441	500000	0	0	4000218	0	1	0
U64	H도끼거한	100270	20	0	1000	45	10	20	0	4	1	100	0	0	13	16	4	80	0	6500	10	axe	4	376	2000000	473	1000000	414	500000	0	0	4000215	0	1	0
